cohort_variable,cohort_definition,matched_top_1_cdm_definition,matched_top_1_cdm_variable,matched_top_1_similarity,in_top_1,in_top_2,in_top_3,in_top_4,in_top_5,in_top_6,in_top_7,in_top_8,in_top_9,in_top_10,in_top_11,in_top_12,in_top_13,in_top_14,in_top_15,in_top_16,in_top_17,in_top_18,in_top_19,in_top_20
SUBJID,Subject Identifier,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.48307532047892177,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SEX,Code indicating sex,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.3683016255007021,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENTAGE,Age at study entry (years),The number of education years that a subject has competed.,Education,0.539524769827938,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
EDCRN,Years of formal education subject received,The number of education years that a subject has competed.,Education,0.6314003615703497,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
LVACCLNM,Long-form variable for the patient's current living accommodation,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.3704053172333344,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ALCSTLNM,Long-form variable for status of Alcohol use,"Consumption of liquids containing ethanol, including the behaviors associated with drinking the alcohol.",Alcohol,0.5772421390395327,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
DISCDLNM,"Long-form variable for disease code for any selected diagnoses as the response to the question ""Does the subject/caregiver currently have any of the following diagnoses?""",An alphanumeric identifier assigned to a specific patient.,Participant ID,0.460330189437596,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FALLSFLG,"Flag variable for the answer to ""Has the subject had any falls since the last data collection (or in the last three months at the baseline observation)?""",A self-rated questionnaire which assesses sleep quality and disturbances over a one month time interval.,Pittsburgh Sleep Quality Index (PSQI),0.25449618826859544,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
PSHYPRN,"Flag variable for a YES answer to any of the questions ""Is the subject currently taking any psychiatric/hypnotic treatments?/ Has the subject taken any psychiatric/hypnotic treatment since baseline?/ Has the subject taken any psychiatric/hypnotic treatment since the last visit?""",A self-rated questionnaire which assesses sleep quality and disturbances over a one month time interval.,Pittsburgh Sleep Quality Index (PSQI),0.34594528252645773,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MMSERN,"Indicator variable for MMSE Item correct response; if MMSE Item is Total Score, value ranges from 0-30",Mini-Mental State Examination (MMSE) Total score.,Mini-Mental State Examination (MMSE),0.5109388543411716,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NPIRN,NPI Item Result Numeric (See documentation in Other Resources in ADDI GERAS-EU dataset description),Neuropsychiatric Inventory (NPI) Total of (Frequency Sub-total) x (Severity Sub-total).,Neuropsychiatric Inventory (NPI),0.3520895619906934,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
