cohort_variable,cohort_definition,matched_top_1_cdm_definition,matched_top_1_cdm_variable,matched_top_1_similarity,in_top_1,in_top_2,in_top_3,in_top_4,in_top_5,in_top_6,in_top_7,in_top_8,in_top_9,in_top_10,in_top_11,in_top_12,in_top_13,in_top_14,in_top_15,in_top_16,in_top_17,in_top_18,in_top_19,in_top_20
SUBJID,Subject Identifier,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.7667960419993594,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SEX,Code indicating sex,The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.,Biological Sex,0.5600788200881062,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENTAGE,Age at study entry (years),The year in which a person was born.,Year of Birth,0.6348262887394936,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
EDCRN,Years of formal education subject received,The number of education years that a subject has competed.,Education,0.8773699479654947,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
LVACCLNM,Long-form variable for the patient's current living accommodation,A description of a personal residence and the relationship between the occupants that reside there.,Living Arrangement,0.6528531251491648,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ALCSTLNM,Long-form variable for status of Alcohol use,"Consumption of liquids containing ethanol, including the behaviors associated with drinking the alcohol.",Alcohol,0.616357336878333,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
DISCDLNM,"Long-form variable for disease code for any selected diagnoses as the response to the question ""Does the subject/caregiver currently have any of the following diagnoses?""",Clinical Dementia Rating (CDR) Sum of Boxes.,Clinical Dementia Rating Scale Sum of Boxes (CDRSB),0.6107267572259368,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FALLSFLG,"Flag variable for the answer to ""Has the subject had any falls since the last data collection (or in the last three months at the baseline observation)?""",Functional Activities Questionnaire (FAQ) Keeping track of current events.,FAQ - Keep Track of Current Events,0.6877752022083783,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PSHYPRN,"Flag variable for a YES answer to any of the questions ""Is the subject currently taking any psychiatric/hypnotic treatments?/ Has the subject taken any psychiatric/hypnotic treatment since baseline?/ Has the subject taken any psychiatric/hypnotic treatment since the last visit?""","Functional Activities Questionnaire (FAQ) Remembering appointments, family occasions, holidays, medications.",FAQ - Remember,0.5868185897468594,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MMSERN,"Indicator variable for MMSE Item correct response; if MMSE Item is Total Score, value ranges from 0-30",Mini-Mental State Examination (MMSE) Total score.,Mini-Mental State Examination (MMSE),0.7608096165963066,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NPIRN,NPI Item Result Numeric (See documentation in Other Resources in ADDI GERAS-EU dataset description),Neuropsychiatric Inventory (NPI) Total of (Frequency Sub-total) x (Severity Sub-total).,Neuropsychiatric Inventory (NPI),0.6584340280557756,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
