cohort_variable,cohort_definition,matched_top_1_cdm_definition,matched_top_1_cdm_variable,matched_top_1_similarity,in_top_1,in_top_2,in_top_3,in_top_4,in_top_5,in_top_6,in_top_7,in_top_8,in_top_9,in_top_10,in_top_11,in_top_12,in_top_13,in_top_14,in_top_15,in_top_16,in_top_17,in_top_18,in_top_19,in_top_20
subjectID,Subject ID,An alphanumeric identifier assigned to a specific patient.,Participant ID,0.3445112198991811,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
apoe,APOE: genotype (hetorozygous/ homozygous),"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.",APOE,0.5473070353093301,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
apoe4,APOE4: at least one allele 4,"Human APOE*4 allele is located in the vicinity of 19q13.2 and is approximately 4 kb in length. This allele, which encodes apolipoprotein E4, plays a role in triglyceride metabolism. The allele is associated with increased occurrence of both Alzheimer disease and coronary artery disease.",APOE,0.7072518598448966,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
meddepr_act,"Medical history: Depression, Currently","Medical history of symptoms, physical examination results, and/or laboratory test results related to mental health.",Psychiatric,0.598159447292807,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
medpark_act,"Medical history: Parkinson's disease, Currently",Medical history pertaining to nerves or the nervous system.,Neurological Disorder (Other than AD),0.4994255898083798,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
meddiab_act,"Medical history: Diabetes mellitus, Currently",Medical history pertaining to the metabolic system,Metabolic,0.6085860407681953,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
medanx_act,"Medical history: Anxiety disorder, Currently","Medical history of symptoms, physical examination results, and/or laboratory test results related to mental health.",Psychiatric,0.5689670630082578,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
medob_act,"Medical history: Obesity, Currently",Medical history pertaining to the metabolic system,Metabolic,0.6866121497421828,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
medlip_act,"Medical history: Hyperlipidemia, Currently",Medical history pertaining to the metabolic system,Metabolic,0.5770702787359859,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
medhear_act,"Medical history: Hearing disorder, Currently","The auditory faculty, the perception of sound by the ear.",Hearing,0.4868381229768161,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
medcancer1,Cancer: Treatment 1,"A tumor composed of atypical neoplastic, often pleomorphic cells that invade other tissues. Malignant neoplasms often metastasize to distant anatomic sites and may recur after excision. The most common malignant neoplasms are carcinomas (adenocarcinomas or squamous cell carcinomas), Hodgkin and non-Hodgkin lymphomas, leukemias, melanomas, and sarcomas.",Cancer,0.39378494946950554,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
phys_cardc,"Physical examination: Cardiovascular, Clinically significant",Medical history pertaining to the heart or blood vessels.,Cardiovascular,0.47199388562836997,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
phys_respc,"Physical examination: Respiratory, Clinically significant","Medical history of symptoms, physical examination results, and/or laboratory test results related to mental health.",Psychiatric,0.44334294012636477,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
phys_gastrc,"Physical examination: Gastrointestinal, Clinically significant","Medical history of symptoms, physical examination results, and/or laboratory test results related to mental health.",Psychiatric,0.4193600213074678,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
risk_surg,Risk factors: Had surgery?,Medical history pertaining to major surgical procedures,Major Surgical Procedures,0.5011148651302375,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sex,Gender,The assemblage of physical properties or qualities by which male is distinguished from female; the physical difference between male and female; the distinguishing peculiarity of male or female.,Biological Sex,0.5480570984961197,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
age,Age of participant,The number of education years that a subject has competed.,Education,0.4490512180790365,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
race,Race of the participant,A demographic parameter indicating a person's current conjugal status.,Marital Status,0.35775386221532496,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ethnicity,Ethnicity of participant,A demographic parameter indicating a person's current conjugal status.,Marital Status,0.4157674117217179,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
marital,Current marital status,A demographic parameter indicating a person's current conjugal status.,Marital Status,0.4461928247646216,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
occup,Occupation title,A grouping of occupations and fields of study.,Profession,0.47278730839289124,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
druguse,Lifestyle interview: Drug use,The use of a drug for a reason other than which it was intended or in a manner or in quantities other than directed.,Drug Abuse,0.4707109223468246,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
alcohol,Lifestyle interview: Alcohol intake,"Consumption of liquids containing ethanol, including the behaviors associated with drinking the alcohol.",Alcohol,0.6422309108980666,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
