cohort_variable,cohort_definition,matched_top_1_cdm_definition,matched_top_1_cdm_variable,matched_top_1_similarity,in_top_1,in_top_2,in_top_3,in_top_4,in_top_5,in_top_6,in_top_7,in_top_8,in_top_9,in_top_10,in_top_11,in_top_12,in_top_13,in_top_14,in_top_15,in_top_16,in_top_17,in_top_18,in_top_19,in_top_20
SUBJID,Subject Identifier for the Study,A grouping of occupations and fields of study.,Profession,0.6010975489171546,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SEX,Sex,MCP-1,Monocyte Chemoattractant Protein 1 in CSF,0.5520833308403112,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AGE,Age (years),The year in which a person was born.,Year of Birth,0.6767761443682253,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
HGTCMB,Height (cm) at Baseline,Right cortical white matter volume,Right Cortical White Matter Volume From Qdec,0.5080859495461593,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
WGTKGB,Weight (kg) at Baseline,An individual's weight in kilograms divided by the square of the height in meters.,BMI,0.5842157510517574,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
BMIB,Body Mass Index (BMI) (kg/m2)  at Baseline,An individual's weight in kilograms divided by the square of the height in meters.,BMI,0.6923211079432102,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
EDUC,Level of Education,The number of education years that a subject has competed.,Education,0.7416972801682428,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MRTLST,Marital Status,A demographic parameter indicating a person's current conjugal status.,Marital Status,0.7178943511325951,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ALCO,Alcohol Consumption,"Consumption of liquids containing ethanol, including the behaviors associated with drinking the alcohol.",Alcohol,0.7356941625832277,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PCC01,Depression Diagnosis,Hospital Anxiety and Depression Scale (HADS) Total score depression.,Hospital Anxiety and Depression Scale (HADs) (Depression),0.5999426899370784,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PCC05,Stroke Diagnosis,Modified Hachinski Ischemic Scale-NACC Version (MHIS-NACC) History of stroke.,MHIS-NACC - History of Stroke,0.6214514600462846,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PCC11,Diabetes Mellitus Diagnosis,Medical history pertaining to the metabolic system,Metabolic,0.6347621613855146,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PCC15,Carcinoma Diagnosis,Fluorodeoxyglucose Positron Emission Tomography,FDG PET,0.567678279415139,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PCC17,Urinary tract disorder Diagnosis,Medical history pertaining to the kidney,Renal,0.6263509673160368,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PCC21,Anxiety Diagnosis,"A feeling of worry, nervousness, or unease about something with an uncertain outcome.",Anxiety,0.5601197477200905,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PCC23,Insomnia Diagnosis,A sleep disorder characterized by difficulty in falling asleep and/or remaining asleep.,Insomnia,0.6220488009403599,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
FALLSYN,Any Falls,Left_CA1,Left CA1 Volume,0.5600270003532389,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
MMSETOT,Mini-Mental State Examination (MMSE) Total Score,Mini-Mental State Examination (MMSE) Total score.,Mini-Mental State Examination (MMSE),0.9674730126561115,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ADASTOT11,ADAS-Cog11 Total Score,Left_CA1,Left CA1 Volume,0.5979620487853388,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ADCSTOT,ADCS-ADL Total Score,Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory (ADCS-ADL) Total score.,Alzheimer's Disease Cooperative Study - Activities of Daily Living (ADCS_ADL),0.754007859474934,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
